,word,frequency
0,the,2913900
1,to,1453643
2,and,1388210
3,of,1344326
4,a,1199482
5,in,1044199
6,s,562151
7,that,554869
8,for,520045
9,is,506824
10,it,433288
11,on,428631
12,with,385942
13,was,326177
14,as,304511
15,i,290001
16,at,287646
17,he,286789
18,are,266628
19,be,262810
20,said,244966
21,we,236329
22,have,232696
23,by,226385
24,from,223930
25,you,222376
26,this,216391
27,but,196696
28,has,194719
29,they,194147
30,an,188159
31,or,185766
32,his,184738
33,not,183462
34,will,164073
35,nt,154873
36,their,151620
37,who,141106
38,more,136310
39,about,125987
40,all,124759
41,there,120789
42,she,115134
43,can,109406
44,up,108906
45,do,108828
46,been,108703
47,our,108676
48,were,106720
49,when,106684
50,had,103576
51,out,98666
52,if,97660
53,her,96402
54,people,96006
55,so,95045
56,its,94896
57,would,93336
58,new,93333
59,what,92466
60,which,92335
61,also,91503
62,time,88011
63,year,84772
64,your,83541
65,other,78215
66,after,77452
67,just,76283
68,than,76223
69,like,74907
70,some,73651
71,my,72696
72,no,72272
73,into,69894
74,says,69042
75,over,68034
76,them,66409
77,re,62296
78,any,60927
79,get,59202
80,now,58534
81,could,57487
82,years,56916
83,last,55877
84,only,55155
85,how,54631
86,most,52753
87,information,52733
88,because,51372
89,did,51196
90,where,50420
91,while,50132
92,city,49604
93,those,49201
94,many,47890
95,well,47690
96,make,47637
97,may,47607
98,back,47140
99,per,46241
100,him,45820
101,being,45747
102,these,45592
103,government,45351
104,before,44608
105,way,43833
106,work,43565
107,world,43253
108,through,42977
109,going,42899
110,day,42660
111,then,42596
112,even,41986
113,right,41532
114,use,41488
115,us,41014
116,such,40260
117,team,40013
118,very,39326
119,made,39099
120,home,38839
121,think,38786
122,good,38713
123,game,38692
124,me,38565
125,see,37664
126,much,37558
127,should,37510
128,go,37248
129,off,37128
130,does,36958
131,police,35872
132,part,35683
133,still,35576
134,during,35457
135,company,35399
136,take,35137
137,down,34654
138,million,34622
139,one,34577
140,know,34364
141,including,34294
142,public,33709
143,old,33438
144,community,33413
145,business,33300
146,since,33270
147,long,32868
148,cent,32645
149,here,32443
150,really,32373
151,ve,31910
152,want,31641
153,need,31457
154,family,31113
155,around,30869
156,life,30822
157,health,30606
158,mr,30478
159,best,30420
160,m,30317
161,high,30282
162,comments,30280
163,against,29670
164,say,29617
165,both,29569
166,school,29474
167,help,28719
168,under,28301
169,lot,28148
170,between,27562
171,each,27408
172,another,27383
173,next,27346
174,week,27200
175,place,26993
176,come,26864
177,looking,26709
178,market,26570
179,every,26504
180,same,26476
181,end,26375
182,own,25672
183,based,25235
184,group,25133
185,share,24965
186,season,24726
187,play,24693
188,country,24658
189,news,24646
190,used,24462
191,told,24454
192,women,24166
193,got,24077
194,report,23975
195,service,23727
196,university,23641
197,across,23606
198,forward,23562
199,great,23465
200,things,23430
201,too,23301
202,big,23264
203,change,23084
204,never,22866
205,something,22819
206,comment,22718
207,support,22652
208,few,22492
209,better,22388
210,found,22363
211,always,22096
212,little,21960
213,national,21918
214,without,21914
215,please,21852
216,man,21593
217,president,21503
218,show,21372
219,top,21333
220,children,21319
221,services,21285
222,centre,21248
223,keep,21246
224,according,21120
225,put,21020
226,free,20935
227,local,20807
228,games,20751
229,number,20724
230,left,20643
231,look,20357
232,why,20235
233,court,20018
234,money,19787
235,past,19508
236,north,19456
237,set,19452
238,called,19123
239,students,19123
240,program,19088
241,working,19073
242,find,19052
243,system,19003
244,done,18975
245,minister,18861
246,experience,18811
247,point,18811
248,am,18748
249,might,18610
250,different,18551
251,came,18520
252,area,18490
253,content,18466
254,former,18454
255,until,18248
256,story,18225
257,able,18207
258,days,18136
259,care,18124
260,ll,18073
261,making,17966
262,case,17963
263,future,17900
264,d,17808
265,star,17597
266,companies,17515
267,project,17490
268,young,17487
269,away,17424
270,took,17398
271,personal,17353
272,open,17267
273,federal,17192
274,once,17124
275,later,17099
276,members,17094
277,ago,17025
278,media,17014
279,early,16919
280,party,16848
281,however,16824
282,using,16742
283,international,16707
284,already,16690
285,times,16670
286,house,16599
287,press,16594
288,social,16569
289,building,16492
290,board,16466
291,development,16407
292,industry,16378
293,give,16328
294,important,16298
295,having,16231
296,went,16217
297,again,16207
298,street,16188
299,month,16177
300,1,16165
301,site,16116
302,ca,16095
303,food,15930
304,players,15921
305,financial,15890
306,less,15884
307,read,15851
308,start,15848
309,water,15795
310,line,15780
311,real,15772
312,thing,15770
313,almost,15732
314,far,15726
315,research,15725
316,getting,15695
317,plan,15617
318,along,15609
319,small,15534
320,several,15504
321,hard,15492
322,doing,15462
323,night,15438
324,full,15435
325,whether,15400
326,among,15344
327,account,15229
328,points,15210
329,run,15195
330,10,15190
331,policy,15127
332,yet,15002
333,hockey,14926
334,job,14918
335,together,14875
336,pm,14841
337,st,14719
338,though,14679
339,staff,14672
340,become,14628
341,kind,14608
342,months,14516
343,terms,14513
344,power,14476
345,least,14474
346,must,14460
347,win,14433
348,first,14406
349,others,14349
350,head,14278
351,call,14148
352,order,14135
353,coming,14122
354,enough,14118
355,non,14118
356,often,14084
357,email,14080
358,law,14064
359,feel,14054
360,below,14040
361,event,13962
362,history,13887
363,statement,13885
364,united,13846
365,ever,13842
366,asked,13834
367,director,13817
368,state,13784
369,cost,13737
370,person,13679
371,men,13647
372,oil,13620
373,global,13613
374,statements,13612
375,province,13603
376,recent,13571
377,online,13566
378,known,13535
379,fact,13520
380,seen,13517
381,within,13502
382,continue,13499
383,close,13465
384,given,13446
385,started,13424
386,provide,13421
387,major,13300
388,states,13282
389,goal,13174
390,sure,13161
391,available,13148
392,rights,13133
393,live,13096
394,deal,13091
395,visit,13057
396,process,13035
397,management,13003
398,decision,12991
399,pay,12991
400,general,12988
401,period,12916
402,series,12901
403,energy,12882
404,taken,12850
405,added,12804
406,office,12785
407,expected,12714
408,taking,12683
409,data,12636
410,love,12600
411,release,12575
412,following,12573
413,related,12563
414,trying,12489
415,league,12425
416,final,12335
417,road,12327
418,20,12284
419,growth,12279
420,two,12271
421,believe,12235
422,council,12217
423,privacy,12215
424,issues,12208
425,chief,12205
426,move,12178
427,post,12152
428,ask,12138
429,current,12137
430,reuters,12135
431,name,12062
432,york,12036
