,word,frequency,relative_freq
0,the,1849962,0.08259009279790222
1,to,925541,0.04132004715678658
2,and,879448,0.039262261565875145
3,of,783185,0.03496467593816795
4,a,728290,0.03251393200713539
5,in,624545,0.027882318397062126
6,for,333504,0.014889022752073601
7,is,319386,0.014258735789357187
8,it,312164,0.01393631530170044
9,s,306038,0.013662824868664545
10,that,297225,0.013269375442228807
11,on,270295,0.012067106855605131
12,was,265784,0.011865716822398321
13,with,230839,0.010305624889254456
14,be,194624,0.008688834808876573
15,new,190422,0.008501239836689692
16,as,185174,0.008266947020402985
17,at,179251,0.008002519362082449
18,he,176989,0.00790153415811131
19,said,170370,0.007606034129338117
20,i,168511,0.007523040542166434
21,are,161163,0.007194994883996707
22,have,159909,0.007139011044129418
23,we,155494,0.0069419068551229745
24,from,152872,0.006824849735400462
25,by,137133,0.00612219450759244
26,has,135495,0.0060490672909236844
27,but,135058,0.0060295577709699325
28,this,134861,0.006020762861517097
29,they,133957,0.005980404495296978
30,not,123418,0.0055098991616754816
31,zealand,121831,0.005439048799738171
32,will,118465,0.005288776387462816
33,an,111629,0.004983588565028377
34,had,111619,0.004983142122924173
35,their,104182,0.004651123130027022
36,you,103340,0.004613532704852973
37,his,98670,0.004405044242189305
38,been,97887,0.004370087825430065
39,were,94242,0.004207359678447395
40,there,90596,0.004044586887254306
41,nt,84837,0.0037874808794427293
42,would,84823,0.0037868558604968426
43,or,84461,0.003770694656324627
44,all,83124,0.0037110053469924377
45,about,82148,0.003667432597622044
46,up,81648,0.003645110492411801
47,more,81554,0.0036409139366322756
48,who,80311,0.003585421183079612
49,people,74830,0.003340726265764931
50,she,73910,0.0032996535921780844
51,which,73153,0.003265857924889777
52,year,66694,0.002977500969783861
53,out,66105,0.002951205529846195
54,do,65540,0.0029259815509586205
55,so,64598,0.0028839267047425232
56,when,63977,0.0028562026500714016
57,also,63120,0.0028179425617410455
58,our,62562,0.002793031092326415
59,can,61484,0.0027449046334931315
60,if,61001,0.002723341479860037
61,what,59019,0.0026348566548066344
62,its,57547,0.0025691403770676797
63,time,56923,0.002541282389765297
64,her,56413,0.002518513842450849
65,says,53020,0.002367036036494142
66,after,51938,0.0023187310008191764
67,than,51502,0.002299266125075845
68,some,51081,0.0022804709124888203
69,over,50223,0.002242166179948044
70,just,49423,0.0022064508116116555
71,into,48558,0.0021678335695979357
72,no,45936,0.0020507764498754228
73,could,44869,0.0020031410773567646
74,them,44847,0.002002158904727514
75,last,44826,0.0020012213763086835
76,now,43832,0.001956845031150721
77,other,43685,0.0019502823322189097
78,like,42159,0.0018821552671172488
79,years,41927,0.0018717978102996962
80,get,41872,0.0018693423787265694
81,being,40556,0.0018105905978132106
82,world,36891,0.001646969566622131
83,my,36545,0.0016315226698166432
84,work,36332,0.0016220134529970798
85,only,34490,0.0015397788174025453
86,mr,34194,0.0015265641311180817
87,while,33854,0.0015113850995751167
88,government,33796,0.0015087957353707283
89,because,33638,0.0015017419501242918
90,how,33396,0.0014909380512025342
91,back,33378,0.0014901344554149655
92,any,32577,0.0014543744428681567
93,well,32407,0.001446784927096674
94,your,31581,0.001409908809289353
95,most,31388,0.0014012924766781992
96,those,31152,0.0013907564430189648
97,where,31104,0.0013886135209187813
98,re,30853,0.0013774078241032396
99,through,30746,0.0013726308935882476
100,did,30694,0.0013703093946463823
101,then,29862,0.0013331654115765383
102,very,29788,0.0013298617400054225
103,many,29762,0.0013287009905344899
104,good,29648,0.0013236115505465545
105,m,29628,0.0013227186663381449
106,before,29165,0.00130204839691346
107,around,29116,0.0012998608306028561
108,make,28275,0.0012623150496392278
109,day,28071,0.0012532076307134488
110,way,27820,0.001242001933897907
111,off,27701,0.0012366892728578691
112,made,27476,0.00122664432551326
113,us,26574,0.001186375247713982
114,per,26162,0.001167981833020742
115,these,26047,0.001162847748822386
116,down,26000,0.0011607494709326234
117,should,25907,0.0011565975593635183
118,going,25830,0.0011531599551611409
119,business,25495,0.0011382041446702782
120,need,25434,0.0011354808478346286
121,ve,25314,0.0011301235425841703
122,see,25106,0.0011208375468167093
123,him,24749,0.001104899563696596
124,go,24724,0.001103783458436084
125,much,24697,0.0011025780647547308
126,still,24697,0.0011025780647547308
127,next,24040,0.0010732468185084719
128,company,23793,0.0010622196985346118
129,take,23512,0.0010496746754064554
130,home,23416,0.0010453888312060887
131,part,23204,0.0010359242585969459
132,me,23194,0.001035477816492741
133,high,23055,0.0010292722712442934
134,think,22860,0.0010205666502122988
135,under,22297,0.0009954319597455655
136,such,22288,0.0009950301618517812
137,country,22183,0.0009903425197576301
138,one,22140,0.0009884228187095492
139,week,22070,0.0009852977239801152
140,may,21980,0.0009812797450422716
141,really,21912,0.0009782439387336786
142,team,21746,0.000970832999803878
143,health,21479,0.0009589129956216084
144,even,21425,0.0009565022082589021
145,council,21284,0.0009502073745896137
146,public,21111,0.0009424839261868696
147,community,20927,0.0009342693914695003
148,here,20660,0.0009223493872872308
149,long,20541,0.0009170367262471929
150,cent,20239,0.0009035541747002063
151,million,20109,0.0008977504273455432
152,support,19875,0.0008873036821071496
153,got,19748,0.0008816338673837479
154,right,19714,0.0008801159642294514
155,police,19657,0.0008775712442354838
156,between,19650,0.0008772587347625403
157,know,19603,0.0008751604568727775
158,family,19489,0.0008700710168848422
159,since,19343,0.0008635529621634513
160,both,19081,0.0008518561790332841
161,help,19080,0.0008518115348228636
162,want,18957,0.0008463202969411439
163,including,18888,0.0008432398464221304
164,school,18841,0.0008411415685323676
165,old,18735,0.0008364092822277961
166,does,18633,0.0008318555727649066
167,best,18476,0.0008248464317288903
168,market,18415,0.0008221231348932407
169,against,18212,0.0008130603601778822
170,another,18134,0.0008095781117650843
171,during,18107,0.0008083727180837312
172,life,18009,0.0008039975854625236
173,come,17825,0.0007957830507451543
174,city,17711,0.000790693610757219
175,place,17387,0.0007762288865809816
176,lot,17322,0.00077332701290365
177,minister,17246,0.0007699340529116932
178,national,17159,0.0007660500066051109
179,use,17095,0.0007631927771381998
180,too,16973,0.0007577461834669006
181,group,16933,0.0007559604150500812
182,big,16913,0.0007550675308416715
183,working,16651,0.0007433707477115043
184,own,16510,0.0007370759140422158
185,same,16410,0.0007326114930001673
186,end,16220,0.0007241290930202751
187,number,16143,0.0007206914888178977
188,put,16067,0.0007172985288259407
189,great,16055,0.0007167627983008949
190,say,15846,0.0007074321583230135
191,children,15677,0.0006998872867619514
192,industry,15646,0.0006985033162389163
193,news,15544,0.0006939496067760268
194,told,15542,0.0006938603183551859
195,however,15457,0.0006900655604694446
196,used,15254,0.000681002785754086
197,change,15074,0.0006729668278783986
198,local,14989,0.0006691720699926574
199,international,14975,0.0006685470510467706
200,every,14955,0.0006676541668383609
201,money,14821,0.0006616718426420158
202,things,14749,0.0006584574594917409
203,nz,14733,0.0006577431521250131
204,south,14661,0.0006545287689747381
205,found,14647,0.0006539037500288514
206,set,14640,0.0006535912405559079
207,each,14630,0.0006531447984517031
208,water,14605,0.0006520286931911909
209,better,14435,0.0006444391774197084
210,having,14230,0.0006352871142835089
211,look,14219,0.0006347960279688835
212,staff,14214,0.0006345728069167811
213,few,14075,0.0006283672616683336
214,based,13873,0.0006193491311633955
215,months,13872,0.000619304486952975
216,left,13833,0.0006175633627465761
217,top,13784,0.0006153757964359723
218,show,13700,0.0006116256827606516
219,something,13674,0.000610464933289719
220,rugby,13611,0.0006076523480332283
221,making,13446,0.0006002860533138482
