,word,frequency,relative_freq
0,the,2065762,0.10390772775755021
1,f,868395,0.04368022610834056
2,t,838124,0.042157596286052805
3,and,812350,0.04086116534423903
4,in,666728,0.03353638585293753
5,a,554779,0.0279053566178514
6,that,312032,0.015695194367813865
7,fr,307439,0.015464166692026226
8,is,289293,0.014551423777843223
9,s,278322,0.013999583013404685
10,n,263646,0.013261380929829808
11,with,213102,0.010719020197190898
12,as,201076,0.010114112984253349
13,it,193063,0.00971105947541678
14,was,175612,0.008833275027306586
15,by,168882,0.008494756355838956
16,be,160404,0.008068313369701874
17,frm,158747,0.007984966350590157
18,are,152265,0.007658922067016134
19,he,152180,0.007654646571165503
20,said,148048,0.007446807172873639
21,nt,143787,0.007232479080879052
22,at,143630,0.00722458198854318
23,i,126843,0.006380196708019095
24,will,124320,0.006253289931182121
25,this,121841,0.00612859635219724
26,we,117026,0.005886402087246775
27,have,111367,0.005601754663497099
28,their,107708,0.005417707142115219
29,his,106455,0.0053546813032817955
30,has,100223,0.0050412120075037465
31,r,97799,0.004919284925833979
32,they,97228,0.004890563653707974
33,but,94890,0.004772962367840022
34,an,91233,0.004589015446360509
35,als,88085,0.0044306712000336005
36,wh,84575,0.00425411837137812
37,its,79748,0.004011320507013448
38,were,71392,0.0035910141149208016
39,which,67524,0.0033964539037414864
40,all,65299,0.003284536512357315
41,city,63234,0.003180667113162567
42,mre,62807,0.0031591890340070426
43,can,57579,0.002896220889217627
44,ne,56677,0.0028508503332497514
45,her,56179,0.0028258009575601708
46,she,55729,0.002803165979527417
47,up,55488,0.0027910436912920978
48,ur,53614,0.002696781582773474
49,when,52947,0.0026632315153338145
50,there,52614,0.0026464816315895767
51,been,52580,0.002644771433249324
52,gvernment,52499,0.0026406971372034283
53,wuld,50668,0.0025485979265857123
54,year,50409,0.0025355702392290827
55,had,48776,0.0024534304189457786
56,d,48588,0.002443974028123206
57,ther,48339,0.0024314493402784153
58,after,48323,0.002430644541059473
59,abut,44173,0.002221899743646299
60,if,43915,0.002208922356240853
61,ut,43537,0.00218990897469334
62,time,43393,0.002182665781722859
63,peple,43316,0.002178792685481699
64,tw,42413,0.0021333718295626393
65,president,42232,0.002124267538398354
66,new,40854,0.0020549542056669434
67,yu,40754,0.0020499242105485537
68,what,39231,0.001973317384895478
69,last,38834,0.001953348304275471
70,cuntry,37906,0.001906669949576814
71,my,36949,0.001858532896293824
72,them,36792,0.0018506358039579523
73,nly,36709,0.0018464609080096888
74,while,36247,0.0018232223305627282
75,just,35786,0.0018000340530669515
76,like,34846,0.001752752098954088
77,because,34809,0.0017508910007602838
78,ver,34197,0.0017201074306357387
79,nw,32981,0.0016589426899961193
80,natinal,32010,0.001610101437396555
81,during,31034,0.0015610086850410712
82,these,30659,0.0015421462033471096
83,than,30237,0.001520919623947505
84,against,29465,0.0014820880616335363
85,percent,29116,0.001464533378670356
86,even,28777,0.0014474816952190148
87,may,28396,0.0014283174138179499
88,thrugh,27926,0.0014046764367615181
89,int,27703,0.001393459547647509
90,wrld,27415,0.0013789731617065465
91,public,26779,0.001346982392753588
92,where,26467,0.0013312888079842118
93,years,26434,0.0013296289095951431
94,being,25980,0.0013067927317576538
95,day,25098,0.0012624281748134564
96,shuld,25077,0.0012613718758385944
97,mst,24878,0.001251362185552999
98,hw,24661,0.0012404470961460932
99,still,24516,0.0012331536032244282
100,him,24397,0.0012271679090335443
101,lcal,24020,0.001208204827437215
102,well,23981,0.001206243129341043
103,culd,23925,0.0012034263320747447
104,millin,23899,0.0012021185333439635
105,befre,23468,0.0011804392543837037
106,get,23263,0.0011701277643910047
107,under,23125,0.0011631863711276268
108,any,22281,0.0011207332123284175
109,make,22196,0.0011164577164777861
110,sme,22043,0.0011087618239466498
111,did,21888,0.0011009653315131457
112,right,21859,0.0010995066329288128
113,way,21691,0.001091056241129918
114,then,21547,0.0010838130481594368
115,filipin,21485,0.001080694451186035
116,made,21429,0.0010778776539197368
117,grup,21322,0.00107249555914306
118,back,20820,0.0010472449836487433
119,team,20805,0.001046490484380985
120,me,20803,0.001046389884478617
121,us,20765,0.001044478486333629
122,such,20744,0.0010434221873587672
123,plice,20648,0.001038593392045113
124,many,20477,0.0010299921003926666
125,since,20339,0.0010230507071292887
126,use,20254,0.0010187752112786575
127,business,20129,0.0010124877173806703
128,very,20111,0.00101158231825936
129,wn,19960,0.0010039870256305916
130,here,19672,0.000989500639689629
131,department,19331,0.0009723483563359201
132,develpment,19214,0.0009664632620474042
133,wrk,19046,0.0009580128702485094
134,gd,18982,0.00095479367337274
135,part,18858,0.0009485564794259367
136,g,18504,0.0009307502967068371
137,high,18482,0.0009296436977807913
138,law,18481,0.0009295933978296074
139,yur,18442,0.0009276316997334354
140,internatinal,18312,0.0009210927060795287
141,thse,18228,0.0009168675101800814
142,help,17602,0.0008853797407389616
143,take,17520,0.0008812551447418821
144,amng,17244,0.0008673723582151263
145,best,17053,0.000857765067539002
146,cmpany,16748,0.0008424235824279132
147,anther,16662,0.0008380977866260981
148,same,16544,0.0008321623923863982
149,1,16187,0.0008142053098137468
150,family,16174,0.0008135514104483561
151,accrding,16135,0.0008115897123521841
152,bth,15838,0.0007966506268505667
153,life,15778,0.0007936326297795328
154,already,15694,0.0007894074338800854
