,word,frequency,relative_freq
0,the,549367,0.08668526498661142
1,to,280574,0.04427210141554464
2,and,256712,0.04050688837378836
3,of,248001,0.039132369439636196
4,a,197995,0.031241863892487405
5,in,197625,0.03118348115736672
6,is,107434,0.016952137202583355
7,for,105477,0.016643339871147727
8,that,98913,0.015607598591871545
9,on,81594,0.012874813214695408
10,s,74944,0.011825501894283068
11,with,71268,0.011245461531300247
12,it,68468,0.01080364623849505
13,as,63869,0.010077964620062517
14,be,54035,0.00852624619526027
15,are,52298,0.008252162922545046
16,at,50225,0.007925061814693199
17,from,47929,0.007562773274592938
18,will,47828,0.0075468363658167505
19,by,45868,0.007237565660853114
20,was,44815,0.00707141155252316
21,this,44706,0.0070542123143389574
22,have,40654,0.006414842469179439
23,has,39078,0.006166163575800514
24,we,37931,0.005985177096926386
25,not,36568,0.0057701077240358565
26,said,34627,0.005463835051416254
27,an,34226,0.00540056078983951
28,he,31527,0.004974682405810503
29,you,31224,0.00492687167948194
30,i,30947,0.004883163523729426
31,their,30433,0.004802058859264473
32,also,28599,0.004512669842477069
33,or,27888,0.0044004803163397496
34,which,27640,0.00436134810469129
35,its,27045,0.004267462354970186
36,but,26905,0.004245371590329926
37,they,26726,0.004217126969825594
38,can,26001,0.004102728367224248
39,more,24940,0.003935311929486279
40,our,23592,0.003722609424235778
41,who,23433,0.0036975206272514827
42,new,23233,0.0036659623920511117
43,up,21718,0.0034269087604083003
44,his,21384,0.0033742065076236808
45,year,19282,0.00304252945566778
46,all,18687,0.002948643705946676
47,about,18518,0.0029219769972023625
48,there,17234,0.0027193731272159797
49,been,17138,0.002704225174319802
50,were,16834,0.0026562566568152377
51,had,16361,0.00258162143056636
52,when,16125,0.002544382713029922
53,do,16105,0.0025412268895098847
54,if,15495,0.0024449742721487527
55,out,15221,0.0024017394899242444
56,mr,14868,0.0023460392047955896
57,so,13998,0.002208760881673975
58,time,13946,0.0022005557405218785
59,your,13653,0.002154322925953335
60,than,13566,0.0021405950936411733
61,such,13487,0.002128129590737027
62,per,13234,0.0020882084232085574
63,people,13195,0.002082054567344485
64,other,13135,0.002072587096784374
65,what,12819,0.0020227250851677873
66,after,12726,0.002008050505799615
67,over,12726,0.002008050505799615
68,would,12726,0.002008050505799615
69,her,12407,0.001957715120655023
70,she,12375,0.0019526658030229634
71,world,12330,0.0019455652001028798
72,well,12059,0.001902803791406377
73,nt,11805,0.0018627248327019055
74,like,11647,0.0018377938268936125
75,some,11621,0.001833691256317564
76,these,11493,0.0018134939857893267
77,into,11430,0.0018035531417012099
78,only,11310,0.0017846182005809871
79,them,10775,0.0017001999214199945
80,last,10563,0.001666748192107601
81,years,10497,0.0016563339744914785
82,company,10446,0.0016482866245153837
83,while,10413,0.0016430795157073225
84,cent,10410,0.001642606142179317
85,now,10351,0.0016332964627952075
86,no,10337,0.0016310873863311815
87,how,10196,0.0016088388305149199
88,market,9922,0.0015656040482904116
89,business,9786,0.001544144448354159
90,may,9296,0.00146682677211325
91,most,9185,0.001449311951577044
92,my,9073,0.001431639339864836
93,just,8915,0.0014067083340565428
94,work,8756,0.001381619537072248
95,even,8698,0.0013724676488641402
96,get,8607,0.0013581086518479714
97,us,8459,0.0013347555577996968
98,many,8328,0.0013140849137434536
99,could,8288,0.0013077732667033794
100,should,8170,0.0012891539079351603
101,government,7908,0.0012478126198226744
102,through,7794,0.0012298244257584628
103,any,7741,0.0012214614934303644
104,make,7542,0.0011900610494059952
105,where,7529,0.001188009764117971
106,one,7404,0.001168285867117739
107,million,7392,0.0011663923730057168
108,because,7281,0.0011488775524695109
109,companies,7271,0.0011472996407094923
110,take,7246,0.001143354861309446
111,team,7232,0.0011411457848454199
112,day,7200,0.0011360964672133605
113,very,7040,0.0011108498790530635
114,being,7014,0.0011067473084770154
115,public,6916,0.0010912837732288336
116,group,6820,0.0010761358203326553
117,development,6796,0.0010723488321086108
118,national,6793,0.0010718754585806053
119,made,6754,0.0010657216027165329
120,based,6721,0.0010605144939084717
121,global,6656,0.001050258067468351
122,use,6652,0.0010496269027643436
123,next,6615,0.001043788629252275
124,before,6528,0.0010300607969401135
125,technology,6494,0.0010246958969560504
126,help,6449,0.0010175952940359668
127,here,6402,0.0010101791087638798
128,best,6400,0.001009863526411876
129,still,6398,0.0010095479440598723
130,need,6393,0.001008758988179863
131,news,6388,0.0010079700322998537
132,minister,6288,0.0009921909146996682
133,between,6244,0.0009852481029555865
134,added,6154,0.0009710468971154195
135,media,6149,0.0009702579412354102
136,under,6112,0.0009644196677233416
137,high,6104,0.0009631573383153268
138,during,6098,0.0009622105912593156
139,those,6035,0.0009522697471711987
140,then,6003,0.0009472204295391393
141,good,5969,0.0009418555295550762
142,according,5962,0.0009407509913230632
143,part,5954,0.0009394886619150484
144,both,5938,0.0009369640030990187
145,way,5923,0.0009345971354589908
146,times,5881,0.000927969906066913
147,since,5870,0.0009262342031308925
148,services,5864,0.0009252874560748814
149,did,5777,0.0009115596237627199
150,singapore,5569,0.000878739059154334
151,old,5561,0.0008774767297463191
152,see,5545,0.0008749520709302894
153,data,5540,0.0008741631150502801
154,much,5529,0.0008724274121142598
155,back,5493,0.000866746929778193
156,including,5450,0.0008599619092101131
157,home,5422,0.0008555437562820612
158,go,5395,0.0008512833945300111
159,however,5333,0.0008415003416178961
160,industry,5308,0.0008375555622178497
161,same,5275,0.0008323484534097885
162,life,5256,0.0008293504210657532
163,service,5251,0.0008285614651857439
164,him,5224,0.0008243011034336937
165,want,5208,0.0008217764446176641
166,around,5203,0.0008209874887376549
167,long,5189,0.0008187784122736288
168,online,5139,0.000810888853473536
169,does,5111,0.0008064707005454841
170,end,5100,0.0008047349976094637
171,me,5060,0.0007984233505693894
172,another,4930,0.0007779104976891482
173,international,4904,0.0007738079271131
174,support,4899,0.0007730189712330907
175,social,4865,0.0007676540712490276
176,says,4842,0.0007640248742009849
177,set,4741,0.0007480879654247975
178,top,4721,0.0007449321419047604
179,against,4698,0.0007413029448567177
180,information,4670,0.0007368847919286658
181,local,4640,0.0007321510566486101
182,off,4635,0.0007313621007686009
183,report,4623,0.0007294686066565785
184,month,4571,0.0007212634655044821
185,country,4512,0.0007119537861203726
186,system,4511,0.0007117959949443707
187,share,4499,0.0007099025008323485
188,used,4487,0.0007080090067203262
189,research,4482,0.0007072200508403169
190,each,4459,0.0007035908537922742
191,come,4414,0.0006964902508721908
192,better,4413,0.0006963324596961889
193,financial,4403,0.0006947545479361703
194,re,4374,0.0006901786038321165
195,m,4364,0.0006886006920720979
196,down,4357,0.000687496153840085
197,number,4341,0.0006849714950240553
198,growth,4328,0.0006829202097360311
199,every,4321,0.0006818156715040182
200,across,4288,0.0006766085626959569
201,future,4265,0.0006729793656479143
202,know,4242,0.0006693501685998716
203,place,4195,0.0006619339833277843
204,different,4157,0.0006559379186397139
205,food,4149,0.000654675589231699
206,own,4123,0.0006505730186556507
207,think,4095,0.0006461548657275988
208,family,4072,0.0006425256686795561
209,countries,4065,0.0006414211304475432
210,found,4046,0.0006384230981035079
211,president,4028,0.0006355828569354745
212,water,4007,0.0006322692422394355
213,why,4007,0.0006322692422394355
214,told,3982,0.0006283244628393891
215,look,3965,0.0006256420128473575
216,things,3956,0.0006242218922633409
217,digital,3955,0.000624064101087339
218,right,3955,0.000624064101087339
219,police,3928,0.0006198037393352889
220,school,3899,0.0006152277952312351
221,able,3859,0.0006089161481911609
222,users,3829,0.0006041824129111051
223,must,3806,0.0006005532158630625
224,1,3799,0.0005994486776310495
225,keep,3791,0.0005981863482230346
226,experience,3790,0.0005980285570470329
