,word,frequency,relative_freq
0,the,2567497,0.08342116257167649
1,of,1263848,0.041063989353790166
2,to,1225145,0.03980648087178937
3,and,1183105,0.03844054912015995
4,a,1071531,0.034815371449933956
5,in,890013,0.02891762645249654
6,that,581854,0.018905158263857854
7,s,500081,0.01624825205248791
8,is,472052,0.015337555071840408
9,for,434876,0.014129660714119778
10,it,410860,0.01334935108169513
11,on,364024,0.011827591340512554
12,with,319249,0.010372796046049966
13,as,281551,0.009147941260775802
14,was,273911,0.008899708183172358
15,i,261396,0.00849308030801436
16,you,240767,0.00782281850724454
17,are,236675,0.007689864351020287
18,at,230970,0.007504501823830804
19,be,223190,0.007251719972553999
20,he,221310,0.007190636440368859
21,this,212728,0.006911796614191797
22,have,205172,0.006666292800792371
23,from,199207,0.006472482551066645
24,by,194821,0.006329975970128333
25,but,193344,0.0062819864078743695
26,we,189158,0.00614597807504086
27,they,178917,0.005813235280834463
28,not,177722,0.0057744082484082705
29,an,172691,0.005610944817331972
30,has,160556,0.0052166636135730984
31,said,160538,0.005216078771243667
32,or,160512,0.005215233998990042
33,his,155047,0.0050376693695263226
34,nt,151302,0.004915989673763901
35,more,132540,0.004306389019052409
36,their,132175,0.004294529716261144
37,who,127096,0.004129506705639693
38,about,126283,0.004103091327093672
39,will,125349,0.004072744508444246
40,all,111343,0.003617672193664949
41,can,109092,0.0035445344112454004
42,do,108630,0.003529523458123307
43,what,103127,0.003350724161519675
44,there,102717,0.0033374027529048307
45,when,100165,0.0032544851070875546
46,were,99834,0.0032437305064741072
47,if,96731,0.0031429101871281013
48,out,94495,0.0030702597733164127
49,so,94314,0.0030643788587815667
50,up,94285,0.0030634366128063704
51,which,94246,0.003062169454425934
52,had,93558,0.0030398154809454145
53,people,92561,0.003007421714142976
54,she,92230,0.002996667113529528
55,been,90082,0.0029268759288839526
56,her,89085,0.0028944821620815134
57,new,88188,0.0028653375193314757
58,would,87746,0.002850976391019863
59,like,87260,0.0028351856481251938
60,its,86482,0.002809907462997513
61,your,83224,0.0027040510013702857
62,our,81435,0.00264592417207283
63,than,80287,0.0026086242279512654
64,also,78982,0.0025662231590674314
65,time,76807,0.0024955547109277074
66,just,75432,0.0024508792552071926
67,other,71795,0.0023327086134213647
68,some,71450,0.002321499135440581
69,after,69211,0.0022487512479073203
70,no,68411,0.0022227582554881116
71,into,67335,0.002187797680684276
72,them,64125,0.0020835007986022007
73,how,63302,0.00205676050765094
74,my,62777,0.002039702606375834
75,year,61336,0.001992882728780734
76,over,60350,0.0019608463656240597
77,most,57909,0.001881535247504949
78,could,57671,0.0018738023322602342
79,now,54871,0.0017828268587930037
80,re,54322,0.0017649891677453218
81,only,54151,0.001759433165615716
82,these,53783,0.0017474763891028799
83,get,53158,0.001727169363775373
84,because,52861,0.0017175194653397418
85,even,51105,0.0016604648469795784
86,did,50900,0.0016538041426721562
87,many,48001,0.0015596120363930487
88,those,47096,0.0015302074637188188
89,world,46513,0.0015112650704933203
90,may,46056,0.0014964165735738473
91,while,44548,0.0014474197828636389
92,years,44473,0.001444982939824338
93,any,44386,0.001442156201898749
94,where,43920,0.00142701528381456
95,says,43756,0.0014216867203686223
96,make,43661,0.0014186000525188412
97,him,42643,0.0013855239696653982
98,way,42612,0.0013845167412091536
99,then,42304,0.0013745094391277583
100,last,42237,0.0013723325260126496
101,me,42205,0.0013712928063158813
102,much,40648,0.0013207039448199962
103,well,39967,0.0012985774100231448
104,back,39315,0.0012773931212014897
105,being,39301,0.0012769382438341536
106,see,38843,0.0012620572556741566
107,before,38434,0.001248768338299836
108,know,38327,0.0012452917755637668
109,through,38250,0.001242789950043418
110,us,37623,0.0012224179422348632
111,does,37510,0.0012187464320556499
112,work,37468,0.0012173817999536415
113,think,37342,0.0012132879036476161
114,very,37005,0.0012023383555910244
115,day,36525,0.0011867425601394992
116,still,34331,0.0011154567784298192
